target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,180.05034890000024,180.05034890000024,180.05034890000024,180.05034890000024,181.02322159999994,181.09062360000007,k,k,1,0.9663439999999355,182.02558640000007,182.02558640000007,182.02558640000007,182.02558640000007,182.02558640000007,182.02558640000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,182.02558640000007,182.02558640000007,182.02558640000007,182.02558640000007,183.01459980000027,183.04358989999992,j,j,1,1.0783787999998822,184.10486360000004,184.10486360000004,184.10486360000004,184.10486360000004,184.10486360000004,184.10486360000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,positive,184.10486360000004,184.10486360000004,184.10486360000004,184.10486360000004,185.09727909999992,185.12876240000014,l,l,1,0.9819127999999182,186.0876647,186.0876647,186.0876647,186.0876647,186.0876647,186.0876647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,186.0876647,186.0876647,186.0876647,186.0876647,187.08244409999998,187.11258720000023,k,k,1,0.9549928999999793,188.04678220000005,188.04678220000005,188.04678220000005,188.04678220000005,188.04678220000005,188.04678220000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,188.04678220000005,188.04678220000005,188.04678220000005,188.04678220000005,189.04315270000006,189.0753009,l,l,1,0.7971345999999357,189.84666689999995,189.84666689999995,189.84666689999995,189.84666689999995,189.84666689999995,189.84666689999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,189.84666689999995,189.84666689999995,189.84666689999995,189.84666689999995,190.8221398999999,190.88251880000007,k,k,1,1.0449394999996002,191.89746330000025,191.89746330000025,191.89746330000025,191.89746330000025,191.89746330000025,191.89746330000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,191.89746330000025,191.89746330000025,191.89746330000025,191.89746330000025,192.86188140000013,192.92470950000006,l,l,1,1.5378935999997339,194.40834710000036,194.40834710000036,194.40834710000036,195.44930390000036,195.44930390000036,195.44930390000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,195.44930390000036,195.44930390000036,195.44930390000036,195.44930390000036,196.42513439999993,196.4851507000003,j,j,1,0.936008000000129,197.38807590000033,197.38807590000033,197.38807590000033,197.38807590000033,197.38807590000033,197.38807590000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,197.38807590000033,197.38807590000033,197.38807590000033,197.38807590000033,198.3701433000001,198.4414270000002,k,k,1,0.8967674999998962,199.2918764000001,199.2918764000001,199.2918764000001,199.2918764000001,199.2918764000001,199.2918764000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,1,0,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,199.2918764000001,199.2918764000001,199.2918764000001,199.2918764000001,200.2870223,200.32458600000018,j,j,1,0.9275597999999263,201.22184640000023,201.22184640000023,201.22184640000023,201.22184640000023,201.22184640000023,201.22184640000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,1,1,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,201.22184640000023,201.22184640000023,201.22184640000023,201.22184640000023,202.21289350000006,202.24514550000004,l,l,1,0.9868011999997179,203.21311160000005,203.21311160000005,203.21311160000005,203.21311160000005,203.21311160000005,203.21311160000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,1,2,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,203.21311160000005,203.21311160000005,203.21311160000005,203.21311160000005,204.2034748000001,204.23474140000008,k,k,1,0.8845452000000478,205.09741970000005,205.09741970000005,205.09741970000005,205.09741970000005,205.09741970000005,205.09741970000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,1,3,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,205.09741970000005,205.09741970000005,205.09741970000005,205.09741970000005,206.0971827000003,206.13393730000007,l,l,1,0.757184099999904,206.84812550000015,206.84812550000015,206.84812550000015,206.84812550000015,206.84812550000015,206.84812550000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,1,4,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,206.84812550000015,206.84812550000015,206.84812550000015,206.84812550000015,207.83548710000014,207.86749069999996,k,k,1,0.8270273999996789,208.6852501000003,208.6852501000003,208.6852501000003,208.6852501000003,208.6852501000003,208.6852501000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,1,5,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,208.6852501000003,208.6852501000003,208.6852501000003,208.6852501000003,209.6717761,209.70592669999996,l,j,0,1.1592442999999548,210.84258630000022,210.84258630000022,210.84258630000022,211.88555780000024,211.88555780000024,211.88555780000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,1,6,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,211.88555780000024,211.88555780000024,211.88555780000024,211.88555780000024,212.86421480000035,212.93189980000034,j,j,1,1.2234057000000575,214.11538580000024,214.11538580000024,214.11538580000024,214.11538580000024,214.11538580000024,214.11538580000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,1,7,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,214.11538580000024,214.11538580000024,214.11538580000024,214.11538580000024,215.1146050000002,215.14541800000006,l,l,1,1.0870442999998886,216.2113833000003,216.2113833000003,216.2113833000003,216.2113833000003,216.2113833000003,216.2113833000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,1,8,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,216.2113833000003,216.2113833000003,216.2113833000003,216.2113833000003,217.19428240000025,217.22781149999992,k,k,1,0.860883400000148,218.0725041999999,218.0725041999999,218.0725041999999,218.0725041999999,218.0725041999999,218.0725041999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,1,9,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,218.0725041999999,218.0725041999999,218.0725041999999,218.0725041999999,219.0451825,219.11117980000017,k,k,1,1.014976200000092,220.0870831000002,220.0870831000002,220.0870831000002,220.0870831000002,220.0870831000002,220.0870831000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,1,10,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,220.0870831000002,220.0870831000002,220.0870831000002,220.0870831000002,221.0771907000003,221.1077679,j,j,1,0.7971907000001011,221.8871621000003,221.8871621000003,221.8871621000003,221.8871621000003,221.8871621000003,221.8871621000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,1,11,29,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,221.8871621000003,221.8871621000003,221.8871621000003,221.8871621000003,222.86902740000005,222.93714640000007,j,j,1,1.0389578999997866,223.93620660000033,223.93620660000033,223.93620660000033,223.93620660000033,223.93620660000033,223.93620660000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,1,12,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,223.93620660000033,223.93620660000033,223.93620660000033,223.93620660000033,224.91252340000028,224.97250190000022,l,l,1,0.7998354999999719,225.7334552000002,225.7334552000002,225.7334552000002,225.7334552000002,225.7334552000002,225.7334552000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,1,13,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,225.7334552000002,225.7334552000002,225.7334552000002,225.7334552000002,226.7194324000002,226.7496758000002,k,k,1,0.8062299000002895,227.54328920000034,227.54328920000034,227.54328920000034,227.54328920000034,227.54328920000034,227.54328920000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,1,14,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,positive,227.54328920000034,227.54328920000034,227.54328920000034,227.54328920000034,228.54020710000032,228.57111430000032,l,l,1,0.903186800000185,229.44704219999994,229.44704219999994,229.44704219999994,229.44704219999994,229.44704219999994,229.44704219999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,1,15,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,229.44704219999994,229.44704219999994,229.44704219999994,229.44704219999994,230.4530866,230.48662330000025,j,j,1,0.9656006000000161,231.4180666000002,231.4180666000002,231.4180666000002,231.4180666000002,231.4180666000002,231.4180666000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,1,16,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,231.4180666000002,231.4180666000002,231.4180666000002,231.4180666000002,232.3977036000001,232.45996140000034,j,j,1,0.8434627999999975,233.2620380000003,233.2620380000003,233.2620380000003,233.2620380000003,233.2620380000003,233.2620380000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,1,17,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,233.2620380000003,233.2620380000003,233.2620380000003,233.2620380000003,234.23599689999992,234.29686029999993,k,k,1,0.6497804000000542,234.90038800000002,234.90038800000002,234.90038800000002,234.90038800000002,234.90038800000002,234.90038800000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.40247690000024,main,1,1,1,negative,negative,239.4533246000001,239.4533246000001,239.4533246000001,239.4533246000001,240.44713850000016,240.48368800000026,j,j,1,1.6213622000000214,242.06116520000023,242.06116520000023,242.06116520000023,243.09907040000007,243.09907040000007,243.09907040000007,234.90038800000002,0.00022659999967800104,None,0.15,-0.12222222222222222,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,243.09907040000007,243.09907040000007,243.09907040000007,243.09907040000007,244.07217919999994,244.13468030000013,k,k,1,1.0077914000003148,245.11925689999998,245.11925689999998,245.11925689999998,245.11925689999998,245.11925689999998,245.11925689999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2023-02-06_12h58.05.810,Main,2022.2.2,60.129217688808296,
