target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_key_resp.rt,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,1,4,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,179.81496100000004,179.81496100000004,179.81496100000004,179.81496100000004,180.79653080000003,180.85748910000007,j,j,1,1.466856400000097,182.2793372000001,182.2793372000001,182.2793372000001,182.2793372000001,182.2793372000001,182.2793372000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,1,5,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,182.2793372000001,182.2793372000001,182.2793372000001,182.2793372000001,183.2705261000001,183.30049069999995,j,j,1,0.8334930000000895,184.1154345,184.1154345,184.1154345,184.1154345,184.1154345,184.1154345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,1,6,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,184.1154345,184.1154345,184.1154345,184.1154345,185.1096758000001,185.13852250000014,k,k,1,0.8150499999999283,185.92810639999993,185.92810639999993,185.92810639999993,185.92810639999993,185.92810639999993,185.92810639999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,1,7,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,185.92810639999993,185.92810639999993,185.92810639999993,185.92810639999993,186.92160149999995,186.95146249999993,j,j,1,0.8664710000000468,187.80370820000007,187.80370820000007,187.80370820000007,187.80370820000007,187.80370820000007,187.80370820000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,1,8,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,187.80370820000007,187.80370820000007,187.80370820000007,187.80370820000007,188.78323890000001,188.85064320000015,j,j,1,0.6736108000000058,189.48754050000002,189.48754050000002,189.48754050000002,189.48754050000002,189.48754050000002,189.48754050000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,1,9,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,189.48754050000002,189.48754050000002,189.48754050000002,189.48754050000002,190.4853376000001,190.52420830000005,j,j,1,0.7426087999999709,191.21617100000003,191.21617100000003,191.21617100000003,191.21617100000003,191.21617100000003,191.21617100000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,1,10,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,191.21617100000003,191.21617100000003,191.21617100000003,191.21617100000003,192.2047159000001,192.23547910000002,k,k,1,0.81319469999994,193.0390328000001,193.0390328000001,193.0390328000001,193.0390328000001,193.0390328000001,193.0390328000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,1,11,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,193.0390328000001,193.0390328000001,193.0390328000001,193.0390328000001,194.02943930000015,194.05964330000006,k,k,1,0.7547494999998889,194.80026120000002,194.80026120000002,194.80026120000002,194.80026120000002,194.80026120000002,194.80026120000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,1,12,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,194.80026120000002,194.80026120000002,194.80026120000002,194.80026120000002,195.76491039999996,195.8256159,j,j,1,1.1258677000000716,196.9279308,196.9279308,196.9279308,196.9279308,196.9279308,196.9279308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,1,13,31,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,196.9279308,196.9279308,196.9279308,196.9279308,197.9154936,197.94695769999998,l,l,1,0.9493603999999323,198.87538700000005,198.87538700000005,198.87538700000005,198.87538700000005,198.87538700000005,198.87538700000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,1,14,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,198.87538700000005,198.87538700000005,198.87538700000005,198.87538700000005,199.8504266,199.9272410000001,l,l,1,1.6250637999999071,201.4736487,201.4736487,201.4736487,202.52046670000004,202.52046670000004,202.52046670000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,1,15,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,202.52046670000004,202.52046670000004,202.52046670000004,202.52046670000004,203.50067920000015,203.56174250000004,l,l,1,0.9587639000001218,204.4880138000001,204.4880138000001,204.4880138000001,204.4880138000001,204.4880138000001,204.4880138000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,1,16,34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,204.4880138000001,204.4880138000001,204.4880138000001,204.4880138000001,205.46031459999995,205.52605429999994,l,l,1,0.6890330000001086,206.18207710000001,206.18207710000001,206.18207710000001,206.18207710000001,206.18207710000001,206.18207710000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,1,17,35,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,206.18207710000001,206.18207710000001,206.18207710000001,206.18207710000001,207.15356900000006,207.2125771000001,l,l,1,1.085660000000189,208.25242350000008,208.25242350000008,208.25242350000008,208.25242350000008,208.25242350000008,208.25242350000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.79263330000003,main,2,2,2,neutral,positive,215.84666270000002,215.84666270000002,215.84666270000002,215.84666270000002,216.8358922,216.86601250000012,l,l,1,0.9366141999998945,217.79569259999994,217.79569259999994,217.79569259999994,217.79569259999994,217.79569259999994,217.79569259999994,208.25242350000008,0.001375300000063362,space,5.506349199999931,0.7925925925925926,-0.225,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,217.79569259999994,217.79569259999994,217.79569259999994,217.79569259999994,218.78038370000013,218.81588579999993,j,j,1,1.0404289000000517,219.84320960000014,219.84320960000014,219.84320960000014,219.84320960000014,219.84320960000014,219.84320960000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,2023-03-15_15h09.51.237,Main,2022.2.2,59.58523906787591,
