target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,exp_end_key.rt,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,159.2554513,159.2554513,159.2554513,159.2554513,160.23659129999987,160.30569100000002,l,l,1,1.2312271000000692,161.49107860000004,161.49107860000004,161.49107860000004,161.49107860000004,161.49107860000004,161.49107860000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,negative,161.49107860000004,161.49107860000004,161.49107860000004,161.49107860000004,162.47202289999996,162.5399187999999,j,j,1,1.48454189999984,163.9763688999999,163.9763688999999,163.9763688999999,163.9763688999999,163.9763688999999,163.9763688999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,positive,163.9763688999999,163.9763688999999,163.9763688999999,163.9763688999999,164.95247889999996,165.01783520000004,l,l,1,1.3601092000001245,166.33640079999986,166.33640079999986,166.33640079999986,166.33640079999986,166.33640079999986,166.33640079999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,166.33640079999986,166.33640079999986,166.33640079999986,166.33640079999986,167.32578250000006,167.36177359999988,k,k,1,1.1299553999999716,168.51492319999988,168.51492319999988,168.51492319999988,168.51492319999988,168.51492319999988,168.51492319999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,positive,168.51492319999988,168.51492319999988,168.51492319999988,168.51492319999988,169.46645409999996,169.53236379999998,l,l,1,1.4788370999999643,170.94858139999997,170.94858139999997,170.94858139999997,170.94858139999997,170.94858139999997,170.94858139999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,170.94858139999997,170.94858139999997,170.94858139999997,170.94858139999997,171.92651899999987,171.99490939999987,l,l,1,1.0969654000000446,173.05257630000006,173.05257630000006,173.05257630000006,173.05257630000006,173.05257630000006,173.05257630000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,173.05257630000006,173.05257630000006,173.05257630000006,173.05257630000006,174.02641129999984,174.09474090000003,k,k,1,1.1870108999999047,175.2366070999999,175.2366070999999,175.2366070999999,175.2366070999999,175.2366070999999,175.2366070999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,175.2366070999999,175.2366070999999,175.2366070999999,175.2366070999999,176.23848049999992,176.27396739999995,j,j,1,1.5842523999999685,177.7994245,177.7994245,177.7994245,178.8417981,178.8417981,178.8417981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,0,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,178.8417981,178.8417981,178.8417981,178.8417981,179.8358530999999,179.8702060999999,l,j,0,1.9162295999999515,181.74443889999998,181.74443889999998,181.74443889999998,182.79021799999987,182.79021799999987,182.79021799999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,1,0,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,182.79021799999987,182.79021799999987,182.79021799999987,182.79021799999987,183.77762009999992,183.8120217999999,l,l,1,1.5171712999999727,185.28726110000002,185.28726110000002,185.28726110000002,186.33134539999992,186.33134539999992,186.33134539999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,1,1,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,186.33134539999992,186.33134539999992,186.33134539999992,186.33134539999992,187.31088060000002,187.3863879999999,l,l,1,1.4331119999999373,188.76943649999998,188.76943649999998,188.76943649999998,188.76943649999998,188.76943649999998,188.76943649999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,1,2,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,188.76943649999998,188.76943649999998,188.76943649999998,188.76943649999998,189.7582422999999,189.79438379999988,k,k,1,1.227096099999926,191.00374820000002,191.00374820000002,191.00374820000002,191.00374820000002,191.00374820000002,191.00374820000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,1,3,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,191.00374820000002,191.00374820000002,191.00374820000002,191.00374820000002,191.99661969999988,192.0333427999999,k,k,1,1.0477258999999322,193.05512269999986,193.05512269999986,193.05512269999986,193.05512269999986,193.05512269999986,193.05512269999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,1,4,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,193.05512269999986,193.05512269999986,193.05512269999986,193.05512269999986,194.04603599999996,194.08169869999983,k,k,1,1.1920036999999866,195.24437650000004,195.24437650000004,195.24437650000004,195.24437650000004,195.24437650000004,195.24437650000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,1,5,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,195.24437650000004,195.24437650000004,195.24437650000004,195.24437650000004,196.24576049999996,196.28190099999983,l,l,1,1.2040716999999859,197.45125110000004,197.45125110000004,197.45125110000004,197.45125110000004,197.45125110000004,197.45125110000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,1,6,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,197.45125110000004,197.45125110000004,197.45125110000004,197.45125110000004,198.42844909999985,198.49698639999997,j,j,1,1.1283029999999599,199.58035229999996,199.58035229999996,199.58035229999996,199.58035229999996,199.58035229999996,199.58035229999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,1,7,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,199.58035229999996,199.58035229999996,199.58035229999996,199.58035229999996,200.56191620000004,200.63273860000004,k,k,1,1.060499499999878,201.64360859999988,201.64360859999988,201.64360859999988,201.64360859999988,201.64360859999988,201.64360859999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,1,8,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,201.64360859999988,201.64360859999988,201.64360859999988,201.64360859999988,202.62552819999996,202.69895139999994,l,l,1,0.9899419999999282,203.63208199999985,203.63208199999985,203.63208199999985,203.63208199999985,203.63208199999985,203.63208199999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,1,9,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,negative,203.63208199999985,203.63208199999985,203.63208199999985,203.63208199999985,204.62168870000005,204.65797010000006,j,j,1,1.4996954000000642,206.1394894,206.1394894,206.1394894,206.1394894,206.1394894,206.1394894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,1,10,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,206.1394894,206.1394894,206.1394894,206.1394894,207.117569,207.19075229999999,j,j,1,1.26603329999989,208.40830170000004,208.40830170000004,208.40830170000004,208.40830170000004,208.40830170000004,208.40830170000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,1,11,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,208.40830170000004,208.40830170000004,208.40830170000004,208.40830170000004,209.38499679999995,209.45642279999993,j,j,1,1.0093372000001182,210.4208432999999,210.4208432999999,210.4208432999999,210.4208432999999,210.4208432999999,210.4208432999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,1,12,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,210.4208432999999,210.4208432999999,210.4208432999999,210.4208432999999,211.39713189999998,211.46118449999994,k,k,1,1.0613609000001816,212.48461709999992,212.48461709999992,212.48461709999992,212.48461709999992,212.48461709999992,212.48461709999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,1,13,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,212.48461709999992,212.48461709999992,212.48461709999992,212.48461709999992,213.45814769999993,213.52473129999998,j,j,1,1.2757156999998642,214.75586009999984,214.75586009999984,214.75586009999984,214.75586009999984,214.75586009999984,214.75586009999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,1,14,32,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,214.75586009999984,214.75586009999984,214.75586009999984,214.75586009999984,215.75484979999987,215.78664149999986,l,l,1,1.334803299999976,217.09350419999987,217.09350419999987,217.09350419999987,217.09350419999987,217.09350419999987,217.09350419999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,1,15,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,217.09350419999987,217.09350419999987,217.09350419999987,217.09350419999987,218.09028379999995,218.12512259999994,k,k,1,1.0743660999999065,219.16951229999995,219.16951229999995,219.16951229999995,219.16951229999995,219.16951229999995,219.16951229999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,1,16,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,219.16951229999995,219.16951229999995,219.16951229999995,219.16951229999995,220.15131410000004,220.21681399999989,j,j,1,1.4834250000001248,221.65715350000005,221.65715350000005,221.65715350000005,221.65715350000005,221.65715350000005,221.65715350000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,1,17,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,221.65715350000005,221.65715350000005,221.65715350000005,221.65715350000005,222.63873990000002,222.7091714999999,l,l,1,1.1043899000001147,223.74259400000005,223.74259400000005,223.74259400000005,223.74259400000005,223.74259400000005,223.74259400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.12755629999992,main,1,1,1,negative,negative,231.18806659999996,231.18806659999996,231.18806659999996,231.18806659999996,232.18703809999988,232.2217596999999,j,j,1,1.3625661000000946,233.56214290000003,233.56214290000003,233.56214290000003,233.56214290000003,233.56214290000003,233.56214290000003,223.74259400000005,0.00022749999993720849,None,0.5361111111111111,-0.2712962962962963,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,233.56214290000003,233.56214290000003,233.56214290000003,233.56214290000003,234.53938049999988,234.61207509999986,k,k,1,1.0524215000000368,235.61077849999992,235.61077849999992,235.61077849999992,235.61077849999992,235.61077849999992,235.61077849999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2022-11-02_11h35.29.661,Main,2022.2.2,60.67040800855385,
