target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,86.77513779999981,86.77513779999981,86.77513779999981,86.77513779999981,87.76377139999977,87.80018919999975,k,k,1,0.7998606000001018,88.5704039999996,88.5704039999996,88.5704039999996,88.5704039999996,88.5704039999996,88.5704039999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,88.5704039999996,88.5704039999996,88.5704039999996,88.5704039999996,89.54589109999961,89.61862799999972,j,j,1,0.9500071000002208,90.52823229999967,90.52823229999967,90.52823229999967,90.52823229999967,90.52823229999967,90.52823229999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,90.52823229999967,90.52823229999967,90.52823229999967,90.52823229999967,91.51134789999969,91.5475922999999,k,k,1,0.7768971999998939,92.3039276999998,92.3039276999998,92.3039276999998,92.3039276999998,92.3039276999998,92.3039276999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,92.3039276999998,92.3039276999998,92.3039276999998,92.3039276999998,93.29025279999996,93.3243424999996,l,j,0,0.7261097999999038,94.01554559999977,94.01554559999977,94.01554559999977,95.08901259999993,95.08901259999993,95.08901259999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,0,13,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,95.08901259999993,95.08901259999993,95.08901259999993,95.08901259999993,96.03688149999971,96.10739239999975,j,j,1,0.9447015999999167,97.02017599999999,97.02017599999999,97.02017599999999,97.02017599999999,97.02017599999999,97.02017599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,0,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,neutral,97.02017599999999,97.02017599999999,97.02017599999999,97.02017599999999,98.00287179999987,98.03622219999988,k,k,1,0.7942657999997209,98.8204727999996,98.8204727999996,98.8204727999996,98.8204727999996,98.8204727999996,98.8204727999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,98.8204727999996,98.8204727999996,98.8204727999996,98.8204727999996,99.804619,99.83631679999962,l,l,1,0.7712047999998504,100.58316160000004,100.58316160000004,100.58316160000004,100.58316160000004,100.58316160000004,100.58316160000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,100.58316160000004,100.58316160000004,100.58316160000004,100.58316160000004,101.57477429999972,101.61148569999978,j,j,1,0.8633049000000028,102.45266649999985,102.45266649999985,102.45266649999985,102.45266649999985,102.45266649999985,102.45266649999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,102.45266649999985,102.45266649999985,102.45266649999985,102.45266649999985,103.42513449999979,103.49220049999985,k,k,1,0.6859431000002587,104.13780359999964,104.13780359999964,104.13780359999964,104.13780359999964,104.13780359999964,104.13780359999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,1,0,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,104.13780359999964,104.13780359999964,104.13780359999964,104.13780359999964,105.11922609999965,105.18456799999967,k,k,1,0.7804141999999956,105.91973499999995,105.91973499999995,105.91973499999995,105.91973499999995,105.91973499999995,105.91973499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,1,1,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,105.91973499999995,105.91973499999995,105.91973499999995,105.91973499999995,106.91080590000001,106.9465339999997,j,j,1,0.6763502000003427,107.60125930000004,107.60125930000004,107.60125930000004,107.60125930000004,107.60125930000004,107.60125930000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,1,2,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,107.60125930000004,107.60125930000004,107.60125930000004,107.60125930000004,108.57094419999976,108.63544939999974,l,l,1,0.7177979999996751,109.31568149999976,109.31568149999976,109.31568149999976,109.31568149999976,109.31568149999976,109.31568149999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,1,3,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,109.31568149999976,109.31568149999976,109.31568149999976,109.31568149999976,110.30846849999989,110.34360979999974,k,k,1,0.6062747000000854,110.92600029999994,110.92600029999994,110.92600029999994,110.92600029999994,110.92600029999994,110.92600029999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,1,4,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,110.92600029999994,110.92600029999994,110.92600029999994,110.92600029999994,111.91130399999975,111.94493190000003,j,j,1,1.014291299999968,112.94235630000003,112.94235630000003,112.94235630000003,112.94235630000003,112.94235630000003,112.94235630000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,1,5,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,112.94235630000003,112.94235630000003,112.94235630000003,112.94235630000003,113.94083890000002,113.97173599999996,k,k,1,0.6713254000001143,114.61952229999997,114.61952229999997,114.61952229999997,114.61952229999997,114.61952229999997,114.61952229999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,1,6,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,negative,114.61952229999997,114.61952229999997,114.61952229999997,114.61952229999997,115.59463759999971,115.66060759999982,j,j,1,0.7327763999996932,116.35052819999964,116.35052819999964,116.35052819999964,116.35052819999964,116.35052819999964,116.35052819999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,1,7,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,116.35052819999964,116.35052819999964,116.35052819999964,116.35052819999964,117.35176239999964,117.38434999999981,k,k,1,0.7689314999997805,118.12300149999965,118.12300149999965,118.12300149999965,118.12300149999965,118.12300149999965,118.12300149999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,1,8,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,118.12300149999965,118.12300149999965,118.12300149999965,118.12300149999965,119.10178439999981,119.16558349999968,j,j,1,0.8484967999997934,119.97310789999983,119.97310789999983,119.97310789999983,119.97310789999983,119.97310789999983,119.97310789999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,1,9,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,119.97310789999983,119.97310789999983,119.97310789999983,119.97310789999983,120.94129559999965,121.00629660000004,l,k,0,0.6006357999999636,121.55436220000001,121.55436220000001,121.55436220000001,122.58554749999985,122.58554749999985,122.58554749999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,1,10,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,122.58554749999985,122.58554749999985,122.58554749999985,122.58554749999985,123.5875403,123.6189844999999,k,k,1,0.7659155000001192,124.36015090000001,124.36015090000001,124.36015090000001,124.36015090000001,124.36015090000001,124.36015090000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,1,11,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,124.36015090000001,124.36015090000001,124.36015090000001,124.36015090000001,125.34947479999983,125.38435769999978,k,k,1,0.9661149000003206,126.32622139999967,126.32622139999967,126.32622139999967,126.32622139999967,126.32622139999967,126.32622139999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,1,12,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,126.32622139999967,126.32622139999967,126.32622139999967,126.32622139999967,127.32751469999994,127.36106669999981,l,l,1,0.9670057000002998,128.29655999999977,128.29655999999977,128.29655999999977,128.29655999999977,128.29655999999977,128.29655999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,1,13,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,negative,128.29655999999977,128.29655999999977,128.29655999999977,128.29655999999977,129.2934395999996,129.3263493999998,j,j,1,0.8159897999998975,130.11633669999992,130.11633669999992,130.11633669999992,130.11633669999992,130.11633669999992,130.11633669999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,1,14,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,130.11633669999992,130.11633669999992,130.11633669999992,130.11633669999992,131.08668639999996,131.15559749999966,j,j,1,0.8676908000002186,131.98346869999978,131.98346869999978,131.98346869999978,131.98346869999978,131.98346869999978,131.98346869999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,1,15,33,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,131.98346869999978,131.98346869999978,131.98346869999978,131.98346869999978,132.96885359999987,133.00208810000004,l,l,1,0.9521047999996881,133.93854759999977,133.93854759999977,133.93854759999977,133.93854759999977,133.93854759999977,133.93854759999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,1,16,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,133.93854759999977,133.93854759999977,133.93854759999977,133.93854759999977,134.92170639999995,134.95472410000002,l,l,1,0.9306395000003249,135.87306790000002,135.87306790000002,135.87306790000002,135.87306790000002,135.87306790000002,135.87306790000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,1,17,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,135.87306790000002,135.87306790000002,135.87306790000002,135.87306790000002,136.85106159999987,136.92062450000003,l,l,1,1.7595854000001054,138.61045449999983,138.61045449999983,138.61045449999983,139.63480949999985,139.63480949999985,139.63480949999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.63660630000004,main,1,1,1,positive,negative,145.69998589999977,145.69998589999977,145.69998589999977,145.69998589999977,146.6906726999996,146.72506399999975,j,j,1,1.0134617999997317,147.72426859999996,147.72426859999996,147.72426859999996,147.72426859999996,147.72426859999996,147.72426859999996,139.63480949999985,0.0005108000000291213,None,0.28703703703703703,-0.22037037037037038,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,147.72426859999996,147.72426859999996,147.72426859999996,147.72426859999996,148.7281264999997,148.76033489999963,k,k,1,0.7748999000000367,149.5016584,149.5016584,149.5016584,149.5016584,149.5016584,149.5016584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,2023-02-20_13h04.10.127,Main,2022.2.2,60.20118030430248,
