target,distractor,set,ans1,ans2,total_experiment.thisRepN,total_experiment.thisTrialN,total_experiment.thisN,total_experiment.thisIndex,boat.thisRepN,boat.thisTrialN,boat.thisN,boat.thisIndex,fl_rep_loop2.thisRepN,fl_rep_loop2.thisTrialN,fl_rep_loop2.thisN,fl_rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,flanker_rest.thisRepN,flanker_rest.thisTrialN,flanker_rest.thisN,flanker_rest.thisIndex,para.thisRepN,para.thisTrialN,para.thisN,para.thisIndex,para_rep_loop.thisRepN,para_rep_loop.thisTrialN,para_rep_loop.thisN,para_rep_loop.thisIndex,para_prac_loop.thisRepN,para_prac_loop.thisTrialN,para_prac_loop.thisN,para_prac_loop.thisIndex,para_main_loop.thisRepN,para_main_loop.thisTrialN,para_main_loop.thisN,para_main_loop.thisIndex,para_rest.thisRepN,para_rest.thisTrialN,para_rest.thisN,para_rest.thisIndex,fl_starter_back.started,fl_starter.started,fl_starter_text.started,fl_starter.keys,fl_starter.rt,fl_inst_resp.keys,fl_inst_resp.rt,fl_back.started,fl_mouse_prac.started,fl_mouse_prac.x,fl_mouse_prac.y,fl_mouse_prac.leftButton,fl_mouse_prac.midButton,fl_mouse_prac.rightButton,back_2.started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_fix.started,j_button.started,k_button.started,l_button.started,targ.started,fl_fix.stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2.started,k_button2.started,l_button2.started,j_button2.stopped,k_button2.stopped,l_button2.stopped,fl_mainback.started,fl_mouse_m.started,fl_key_resp.keys,fl_key_resp.rt,fl_mouse_m.x,fl_mouse_m.y,fl_mouse_m.leftButton,fl_mouse_m.midButton,fl_mouse_m.rightButton,rest_text.started,rest_key.started,rest_inst_text.started,rest_time.started,rest_key.keys,exp_end_key.started,exp_end_back.started,exp_end_text.started,exp_end_key.keys,exp_end_key.rt,para_starter.started,para_starter_key.started,para_starter_key.keys,para_starter_key.rt,para_inst_sound.started,para_inst_key.keys,para_inst_key.rt,para_inst_image.started,para_prac_back.started,para_prac_text.started,para_fix_back.started,para_fix_2.started,para_back.started,st_ans,st_res,st_corr,st_rt,st2_resp.keys,st2_resp.corr,para_main_back.started,para_main_text.started,para_mouse.started,para_mouse.x,para_mouse.y,para_mouse.leftButton,para_mouse.midButton,para_mouse.rightButton,para_mouse.clicked_name,rest_text.stopped,rest_key.stopped,rest_inst_text.stopped,rest_time.stopped,total_end_text.started,id*,date,expName,psychopyVersion,frameRate,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,positive,157.73952000000008,157.73952000000008,157.73952000000008,157.73952000000008,158.7291396999999,158.75932299999977,l,l,1,1.4103940999998485,160.14799459999995,160.14799459999995,160.14799459999995,160.14799459999995,160.14799459999995,160.14799459999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,160.14799459999995,160.14799459999995,160.14799459999995,160.14799459999995,161.1342764000001,161.16321289999996,j,j,1,1.5240787000002456,162.64817319999975,162.64817319999975,162.64817319999975,163.68395729999975,163.68395729999975,163.68395729999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,163.68395729999975,163.68395729999975,163.68395729999975,163.68395729999975,164.6742521000001,164.70387329999994,k,k,1,1.5471216000000823,166.20730689999982,166.20730689999982,166.20730689999982,167.24685020000015,167.24685020000015,167.24685020000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,167.24685020000015,167.24685020000015,167.24685020000015,167.24685020000015,168.24770039999976,168.27786969999988,l,l,1,1.4657234000001154,169.75249380000014,169.75249380000014,169.75249380000014,169.75249380000014,169.75249380000014,169.75249380000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,169.75249380000014,169.75249380000014,169.75249380000014,169.75249380000014,170.69348209999998,170.78717849999975,k,k,1,1.7436799000001884,172.44208889999982,172.44208889999982,172.44208889999982,173.4726055000001,173.4726055000001,173.4726055000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,0,14,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,positive,173.4726055000001,173.4726055000001,173.4726055000001,173.4726055000001,174.4447970000001,174.5131707999999,l,l,1,1.2721747999999025,175.751933,175.751933,175.751933,175.751933,175.751933,175.751933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,175.751933,175.751933,175.751933,175.751933,176.75195329999997,176.78194649999978,k,k,1,1.506804099999954,178.23361549999981,178.23361549999981,178.23361549999981,179.27700539999978,179.27700539999978,179.27700539999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,179.27700539999978,179.27700539999978,179.27700539999978,179.27700539999978,180.25602470000013,180.32246510000004,j,j,1,1.3155689999998685,181.6028369999999,181.6028369999999,181.6028369999999,181.6028369999999,181.6028369999999,181.6028369999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,181.6028369999999,181.6028369999999,181.6028369999999,181.6028369999999,182.6017023999998,182.64041499999985,l,l,1,1.595109400000183,184.1759204,184.1759204,184.1759204,185.22347630000013,185.22347630000013,185.22347630000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,1,j,l,0,0,0,0,0,0,0,0,,,,,1,0,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,185.22347630000013,185.22347630000013,185.22347630000013,185.22347630000013,186.1982121000001,186.26459130000012,j,j,1,1.4990575000001627,187.71901260000004,187.71901260000004,187.71901260000004,187.71901260000004,187.71901260000004,187.71901260000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,2,l,j,0,0,0,0,0,0,0,0,,,,,1,1,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,187.71901260000004,187.71901260000004,187.71901260000004,187.71901260000004,188.70184699999982,188.74045660000002,l,l,1,2.0250138999999763,190.72119900000007,190.72119900000007,190.72119900000007,191.74879669999973,191.74879669999973,191.74879669999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,1,k,k,0,0,0,0,0,0,0,0,,,,,1,2,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,neutral,191.74879669999973,191.74879669999973,191.74879669999973,191.74879669999973,192.72640869999987,192.78691530000015,k,k,1,2.396469100000104,195.12075490000007,195.12075490000007,195.12075490000007,196.1794964999999,196.1794964999999,196.1794964999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,negative,2,k,k,0,0,0,0,0,0,0,0,,,,,1,3,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,196.1794964999999,196.1794964999999,196.1794964999999,196.1794964999999,197.14401719999978,197.20567789999996,k,k,1,1.5397907999999916,198.68005110000013,198.68005110000013,198.68005110000013,199.7203559999998,199.7203559999998,199.7203559999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,2,k,k,0,0,0,0,0,0,0,0,,,,,1,4,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,neutral,199.7203559999998,199.7203559999998,199.7203559999998,199.7203559999998,200.71279730000015,200.74791219999997,k,k,1,1.263617300000078,201.99215060000006,201.99215060000006,201.99215060000006,201.99215060000006,201.99215060000006,201.99215060000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,2,k,k,0,0,0,0,0,0,0,0,,,,,1,5,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,201.99215060000006,201.99215060000006,201.99215060000006,201.99215060000006,202.99152520000007,203.0228514999999,k,k,1,1.2410115000002406,204.2339065000001,204.2339065000001,204.2339065000001,204.2339065000001,204.2339065000001,204.2339065000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,1,j,l,0,0,0,0,0,0,0,0,,,,,1,6,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,204.2339065000001,204.2339065000001,204.2339065000001,204.2339065000001,205.2377974000001,205.2731829999998,j,j,1,1.5018655999997463,206.7115491999998,206.7115491999998,206.7115491999998,207.74583699999994,207.74583699999994,207.74583699999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,neutral,2,j,l,0,0,0,0,0,0,0,0,,,,,1,7,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,207.74583699999994,207.74583699999994,207.74583699999994,207.74583699999994,208.72921799999995,208.7599626000001,j,j,1,1.2509086000000025,210.00696179999977,210.00696179999977,210.00696179999977,210.00696179999977,210.00696179999977,210.00696179999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,1,l,j,0,0,0,0,0,0,0,0,,,,,1,8,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,210.00696179999977,210.00696179999977,210.00696179999977,210.00696179999977,210.99028150000004,211.0242849000001,l,l,1,1.2568943999999647,212.26801079999996,212.26801079999996,212.26801079999996,212.26801079999996,212.26801079999996,212.26801079999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,neutral,1,k,k,0,0,0,0,0,0,0,0,,,,,1,9,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,212.26801079999996,212.26801079999996,212.26801079999996,212.26801079999996,213.2529512000001,213.28826159999971,k,k,1,0.9096325000000434,214.17024020000008,214.17024020000008,214.17024020000008,214.17024020000008,214.17024020000008,214.17024020000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,2,l,j,0,0,0,0,0,0,0,0,,,,,1,10,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,positive,214.17024020000008,214.17024020000008,214.17024020000008,214.17024020000008,,,l,k,0,-0.6723651999996036,214.50276519999989,214.50276519999989,214.50276519999989,217.5496331999998,217.5496331999998,217.5496331999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,2,j,l,0,0,0,0,0,0,0,0,,,,,1,11,29,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,positive,negative,217.5496331999998,217.5496331999998,217.5496331999998,217.5496331999998,218.5391300000001,218.56781790000014,j,j,1,1.3166034999999283,219.8663388,219.8663388,219.8663388,219.8663388,219.8663388,219.8663388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,negative,2,j,l,0,0,0,0,0,0,0,0,,,,,1,12,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,219.8663388,219.8663388,219.8663388,219.8663388,220.84936259999995,220.87933729999986,j,j,1,1.166828599999917,222.03853299999992,222.03853299999992,222.03853299999992,222.03853299999992,222.03853299999992,222.03853299999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,negative,1,l,j,0,0,0,0,0,0,0,0,,,,,1,13,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,222.03853299999992,222.03853299999992,222.03853299999992,222.03853299999992,223.04503909999994,223.08284649999996,l,l,1,1.4526977999998962,224.4992416,224.4992416,224.4992416,224.4992416,224.4992416,224.4992416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,positive,2,l,j,0,0,0,0,0,0,0,0,,,,,1,14,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,positive,224.4992416,224.4992416,224.4992416,224.4992416,225.4677283000001,225.53989159999992,l,l,1,1.1649376999998822,226.67443419999972,226.67443419999972,226.67443419999972,226.67443419999972,226.67443419999972,226.67443419999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
positive,neutral,1,l,j,0,0,0,0,0,0,0,0,,,,,1,15,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,positive,226.67443419999972,226.67443419999972,226.67443419999972,226.67443419999972,227.66604619999998,227.70291629999974,l,l,1,1.194694199999958,228.86530839999978,228.86530839999978,228.86530839999978,228.86530839999978,228.86530839999978,228.86530839999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
negative,positive,1,j,l,0,0,0,0,0,0,0,0,,,,,1,16,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,228.86530839999978,228.86530839999978,228.86530839999978,228.86530839999978,229.86195569999973,229.89657069999976,j,j,1,1.336769699999877,231.20332409999992,231.20332409999992,231.20332409999992,231.20332409999992,231.20332409999992,231.20332409999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
neutral,positive,1,k,k,0,0,0,0,0,0,0,0,,,,,1,17,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,neutral,231.20332409999992,231.20332409999992,231.20332409999992,231.20332409999992,232.20095469999978,232.2384963999998,k,k,1,1.1052561999999853,233.30377850000013,233.30377850000013,233.30377850000013,233.30377850000013,233.30377850000013,233.30377850000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,2022-10-07_11h18.57.018,Main,2022.2.2,60.03745136224678,
