target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,positive,1,l,j,,,,,,,,,7,2,128,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.9716413999849465,438.7832771000103,439.82228749999194,439.82228749999194,None,438.7832771000103,None,438.7832771000103,None,438.7832771000103,None,440.7343152299931,None,440.7343152299931,None,440.7343152299931,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,7,3,129,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,1.171400100021856,440.7894096999953,441.8628910999978,441.8208927999949,None,440.7894096999953,None,440.7894096999953,None,440.7894096999953,None,442.91185041999563,None,442.91185041999563,None,442.91185041999563,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,7,4,130,12,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.9270421999972314,442.9759164999996,444.0432017999992,443.9955603000126,None,442.9759164999996,None,442.9759164999996,None,442.9759164999996,None,444.8458735200053,None,444.8458735200053,None,444.8458735200053,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,7,5,131,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,j,j,1,1.0851204000064172,444.87931570000364,445.92941909999354,445.88047239999287,None,444.87931570000364,None,444.87931570000364,None,444.87931570000364,None,446.9353549300053,None,446.9353549300053,None,446.9353549300053,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,7,6,132,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.9003654000116512,447.00352790000034,448.07810809998773,448.03061700001126,None,447.00352790000034,None,447.00352790000034,None,447.00352790000034,None,448.8511019299971,None,448.8511019299971,None,448.8511019299971,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,7,7,133,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.8233676000090782,448.9209855000081,449.9815624000039,449.9324784000055,None,448.9209855000081,None,448.9209855000081,None,448.9209855000081,None,450.68254791999937,None,450.68254791999937,None,450.68254791999937,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,7,8,134,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,1.0028806999907829,450.7288208999962,451.7946905999852,451.7432348000002,None,450.7288208999962,None,450.7288208999962,None,450.7288208999962,None,452.68630341998653,None,452.68630341998653,None,452.68630341998653,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,7,9,135,1,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.8259008000022732,452.73147999998764,453.81007119998685,453.7608926999965,None,452.73147999998764,None,452.73147999998764,None,452.73147999998764,None,454.5251195300138,None,454.5251195300138,None,454.5251195300138,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,7,10,136,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.8203658999991603,454.59782659998746,455.6656856999907,455.6190588999889,None,454.59782659998746,None,454.59782659998746,None,454.59782659998746,None,456.36360751999894,None,456.36360751999894,None,456.36360751999894,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,7,11,137,4,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.8088802999991458,456.4037121000001,457.46924840001157,457.422962200013,None,456.4037121000001,None,456.4037121000001,None,456.4037121000001,None,458.1757317199896,None,458.1757317199896,None,458.1757317199896,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,7,12,138,17,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.8497297000139952,458.2119696000009,459.2696052000101,459.2273210999847,None,458.2119696000009,None,458.2119696000009,None,458.2119696000009,None,460.0297901199898,None,460.0297901199898,None,460.0297901199898,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,7,13,139,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.7512443999876268,460.0633961999847,461.0976388999843,461.0976388999843,None,460.0633961999847,None,460.0633961999847,None,460.0633961999847,None,461.7875232199964,None,461.7875232199964,None,461.7875232199964,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,7,14,140,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7417007999902125,461.83193230000325,462.89493320000474,462.84018070000457,None,461.83193230000325,None,461.83193230000325,None,461.83193230000325,None,463.5232398100023,None,463.5232398100023,None,463.5232398100023,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,7,15,141,7,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.9416134000057355,463.56869509999524,464.5992200000037,464.5992200000037,None,463.56869509999524,None,463.56869509999524,None,463.56869509999524,None,465.4745174099924,None,465.4745174099924,None,465.4745174099924,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,7,16,142,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.9435099999827798,465.50876319999225,466.5884625999897,466.5353111999866,None,465.50876319999225,None,465.50876319999225,None,465.50876319999225,None,467.4342212199932,None,467.4342212199932,None,467.4342212199932,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,7,17,143,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7451937999867368,467.4753662000003,468.55077339999843,468.50442019998445,None,467.4753662000003,None,467.4753662000003,None,467.4753662000003,None,469.18826551999666,None,469.18826551999666,None,469.18826551999666,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,8,0,144,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.811919499974465,469.22979260000284,470.3008545000048,470.2526850999857,None,469.22979260000284,None,469.22979260000284,None,469.22979260000284,None,471.00449022001123,None,471.00449022001123,None,471.00449022001123,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,8,1,145,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.7864429999899585,471.0359007999941,472.1044641000044,472.05653289999464,None,471.0359007999941,None,471.0359007999941,None,471.0359007999941,None,472.79816681998784,None,472.79816681998784,None,472.79816681998784,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,8,2,146,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.886864499974763,472.84741210000357,473.9048849999963,473.85710920000565,None,472.84741210000357,None,472.84741210000357,None,472.84741210000357,None,474.68713771999467,None,474.68713771999467,None,474.68713771999467,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,8,3,147,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,j,j,1,0.8059040999796707,474.72146729999804,475.7611307000043,475.7611307000043,None,474.72146729999804,None,474.72146729999804,None,474.72146729999804,None,476.5022722200025,None,476.5022722200025,None,476.5022722200025,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,8,4,148,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7203106000088155,476.56995380000444,477.63061839999864,477.5438911000092,None,476.56995380000444,None,476.56995380000444,None,476.56995380000444,None,478.2318153199973,None,478.2318153199973,None,478.2318153199973,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,8,5,149,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.7211039999965578,478.264743000007,479.3325995999912,479.2862385000044,None,478.264743000007,None,478.264743000007,None,478.264743000007,None,479.96070362001194,None,479.96070362001194,None,479.96070362001194,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,8,6,150,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.906929000018863,479.999834199989,481.07363910001004,481.029260100011,None,479.999834199989,None,479.999834199989,None,479.999834199989,None,481.85930751000416,None,481.85930751000416,None,481.85930751000416,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,8,7,151,11,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,l,l,1,0.8113658000074793,481.9129566999909,482.9638142999902,482.9152812999964,None,481.9129566999909,None,481.9129566999909,None,481.9129566999909,None,483.674731310003,None,483.674731310003,None,483.674731310003,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,8,8,152,5,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.7954808000067715,483.7204384999932,484.79170420000446,484.7441719000053,None,483.7204384999932,None,483.7204384999932,None,483.7204384999932,None,485.48446222001223,None,485.48446222001223,None,485.48446222001223,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,8,9,153,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,1.9760850000020582,485.53110809999635,486.6065174000105,486.5587297999882,None,485.53110809999635,None,485.53110809999635,None,485.53110809999635,None,488.4787575000082,None,488.4787575000082,None,488.4787575000082,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,8,10,154,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,0.981143000011798,489.54491170000983,490.58765120001044,490.52149069998995,None,489.54491170000983,None,489.54491170000983,None,489.54491170000983,None,491.4704682299984,None,491.4704682299984,None,491.4704682299984,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,8,11,155,7,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.7026006999949459,491.52837459999137,492.6010932000063,492.50511460000416,None,491.52837459999137,None,491.52837459999137,None,491.52837459999137,None,493.1789282199985,None,493.1789282199985,None,493.1789282199985,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,8,12,156,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.745596699998714,493.23120909999125,494.27806519999285,494.23537559999386,None,493.23120909999125,None,493.23120909999125,None,493.23120909999125,None,494.9290858200053,None,494.9290858200053,None,494.9290858200053,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,8,13,157,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.7719146000163164,495.0162003999867,496.0381697000121,496.0126755000092,None,495.0162003999867,None,495.0162003999867,None,495.0162003999867,None,496.7190606199962,None,496.7190606199962,None,496.7190606199962,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,8,14,158,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.807727999985218,496.76245929999277,497.8295138000103,497.78355379999266,None,496.76245929999277,None,496.76245929999277,None,496.76245929999277,None,498.5299849300122,None,498.5299849300122,None,498.5299849300122,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,8,15,159,4,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.766453599993838,498.60547099998803,499.675728400005,499.62789740000153,None,498.60547099998803,None,498.60547099998803,None,498.60547099998803,None,500.30840902000784,None,500.30840902000784,None,500.30840902000784,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,8,16,160,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.7721718999964651,500.3402710999944,501.4071084999887,501.3595231999934,None,500.3402710999944,None,500.3402710999944,None,500.3402710999944,None,502.08889752000107,None,502.08889752000107,None,502.08889752000107,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,8,17,161,8,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.9394399000157136,502.11592869999004,503.1638491000049,503.1155051999958,None,502.11592869999004,None,502.11592869999004,None,502.11592869999004,None,504.02034082001194,None,504.02034082001194,None,504.02034082001194,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,9,0,162,15,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.86791760000051,504.094863300008,505.15880790000665,505.1089471000014,None,504.094863300008,None,504.094863300008,None,504.094863300008,None,505.91006763000627,None,505.91006763000627,None,505.91006763000627,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,2,l,j,,,,,,,,,9,1,163,14,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.9892555999977048,505.9813284999982,507.0327992000093,506.98566259999643,None,505.9813284999982,None,505.9813284999982,None,505.9813284999982,None,507.91118901999437,None,507.91118901999437,None,507.91118901999437,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,9,2,164,1,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.8095123999810312,507.981761300005,509.03447670000605,508.9865550000104,None,507.981761300005,None,507.981761300005,None,507.981761300005,None,509.7334956300096,None,509.7334956300096,None,509.7334956300096,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,9,3,165,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.8575347000150941,509.7895209999988,510.8508393999946,510.8023219000024,None,509.7895209999988,None,509.7895209999988,None,509.7895209999988,None,511.5969212300028,None,511.5969212300028,None,511.5969212300028,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,9,4,166,13,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.8450576000032015,511.67365899999277,512.7343383000116,512.6865312999871,None,511.67365899999277,None,511.67365899999277,None,511.67365899999277,None,513.4541474200028,None,513.4541474200028,None,513.4541474200028,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,9,5,167,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.8138300999999046,513.4827405000106,514.5523753000016,514.5055502000032,None,513.4827405000106,None,513.4827405000106,None,513.4827405000106,None,515.2669834200001,None,515.2669834200001,None,515.2669834200001,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,9,6,168,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,0.9619679000170436,515.3403226000082,516.380181799992,516.33390279999,None,515.3403226000082,None,515.3403226000082,None,515.3403226000082,None,517.2419161300116,None,517.2419161300116,None,517.2419161300116,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,9,7,169,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,j,j,1,0.961208600027021,517.3155218999891,518.3758781999932,518.3277399000071,None,517.3155218999891,None,517.3155218999891,None,517.3155218999891,None,519.2089811199926,None,519.2089811199926,None,519.2089811199926,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,9,8,170,7,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.7259737999993376,519.2690210999863,520.3296390000032,520.2810873999842,None,519.2690210999863,None,519.2690210999863,None,519.2690210999863,None,520.94800102,None,520.94800102,None,520.94800102,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,9,9,171,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.8676941999874543,520.9819902000017,522.0422816000064,521.9921525999962,None,520.9819902000017,None,520.9819902000017,None,520.9819902000017,None,522.8089187099947,None,522.8089187099947,None,522.8089187099947,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,9,10,172,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7513704000157304,522.8498555000115,523.8619416999863,523.8387635000108,None,522.8498555000115,None,522.8498555000115,None,522.8498555000115,None,524.5769049200112,None,524.5769049200112,None,524.5769049200112,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,9,11,173,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7894150999782141,524.6032584999921,525.6362733000133,525.6362733000133,None,524.6032584999921,None,524.6032584999921,None,524.6032584999921,None,526.3739376199896,None,526.3739376199896,None,526.3739376199896,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,9,12,174,4,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.753004600002896,526.4157292000018,527.4899256000062,527.4429332999862,None,526.4157292000018,None,526.4157292000018,None,526.4157292000018,None,528.1200250100053,None,528.1200250100053,None,528.1200250100053,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,9,13,175,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.8468025999900419,528.1632557999983,529.2146697999851,529.1666583000042,None,528.1632557999983,None,528.1632557999983,None,528.1632557999983,None,529.9783623200142,None,529.9783623200142,None,529.9783623200142,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,negative,1,l,j,,,,,,,,,9,14,176,5,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,l,l,1,1.208534300007159,530.0500702999998,531.0890772999846,531.0385428000009,None,530.0500702999998,None,530.0500702999998,None,530.0500702999998,None,532.1984455200086,None,532.1984455200086,None,532.1984455200086,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,9,15,177,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,l,1,1.0445532000157982,532.248788900004,533.2870705999958,533.2387133000011,None,532.248788900004,None,532.248788900004,None,532.248788900004,None,534.2574813199985,None,534.2574813199985,None,534.2574813199985,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,9,16,178,6,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.7908256000082474,534.2893509000132,535.3280997000111,535.2842451999895,None,534.2893509000132,None,534.2893509000132,None,534.2893509000132,None,536.0540627200039,None,536.0540627200039,None,536.0540627200039,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,9,17,179,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.7817846999969333,536.0855702999979,537.1479202999908,537.0990179000073,None,536.0855702999979,None,536.0855702999979,None,536.0855702999979,None,537.8452437200117,None,537.8452437200117,None,537.8452437200117,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,10,0,180,3,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,1.2587829999974929,537.8689266000001,538.942344799987,538.8932145999861,None,537.8689266000001,None,537.8689266000001,None,537.8689266000001,None,540.105107320001,None,540.105107320001,None,540.105107320001,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,10,1,181,0,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.7928583000029903,540.1664562000078,541.2339113999915,541.1869147999969,None,540.1664562000078,None,540.1664562000078,None,540.1664562000078,None,541.9050219200085,None,541.9050219200085,None,541.9050219200085,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,2,k,k,,,,,,,,,10,2,182,13,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.9120281999930739,541.9706300999969,543.023409299989,542.9755798999977,None,541.9706300999969,None,541.9706300999969,None,541.9706300999969,None,543.8280436300032,None,543.8280436300032,None,543.8280436300032,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,2,j,l,,,,,,,,,10,3,183,15,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,j,j,1,1.041880200005835,543.9021669999929,544.9507197999919,544.9048957999912,None,543.9021669999929,None,543.9021669999929,None,543.9021669999929,None,545.8837714300083,None,545.8837714300083,None,545.8837714300083,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,10,4,184,8,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,1.0319714000215754,545.9528104999918,547.001471800002,546.9535471999843,None,545.9528104999918,None,545.9528104999918,None,545.9528104999918,None,547.9208156200125,None,547.9208156200125,None,547.9208156200125,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,2,j,l,,,,,,,,,10,5,185,12,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.8485004000249319,547.9965973999933,549.0705137999903,549.0218121999933,None,547.9965973999933,None,547.9965973999933,None,547.9965973999933,None,549.7832087200018,None,549.7832087200018,None,549.7832087200018,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,10,6,186,11,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,l,l,1,1.5811178000003565,549.8187422000046,550.9033174999931,550.8539252000046,None,549.8187422000046,None,549.8187422000046,None,549.8187422000046,None,552.3855062999937,None,552.3855062999937,None,552.3855062999937,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,10,7,187,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.8190013999992516,553.4667949999857,554.5128285000101,554.4635965999914,None,553.4667949999857,None,553.4667949999857,None,553.4667949999857,None,555.226596320013,None,555.226596320013,None,555.226596320013,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
